strategy,step,loss_total,loss_main,num_freqs,tau_t
progressive_discrepancy_aware,0,12.806275367736816,3.3675234590191394e-05,9,1.6134694039821627
progressive_discrepancy_aware,1,13.037038803100586,0.0001026478421408683,13,3.22946652173996
progressive_discrepancy_aware,2,12.638216018676758,0.00022016250295564532,16,4.79565601348877
progressive_discrepancy_aware,3,12.810351371765137,0.00042575228144414723,16,6.322194673866034
progressive_discrepancy_aware,4,12.021780014038086,0.0006211504805833101,16,7.783374309539795
non_progressive_discrepancy_aware,0,12.806747436523438,0.00050582509720698,16,7.834456443786621
non_progressive_discrepancy_aware,1,13.037611961364746,0.0005523093859665096,16,7.680160045623779
non_progressive_discrepancy_aware,2,12.63839054107666,0.000846708775497973,16,7.905296325683594
non_progressive_discrepancy_aware,3,12.810773849487305,0.00045015974319539964,16,7.899561882019043
non_progressive_discrepancy_aware,4,12.021615028381348,0.0006210927967913449,16,7.783374786376953
progressive_uniform,0,12.806275367736816,3.3675234590191394e-05,9,1.6134694039821627
progressive_uniform,1,13.037038803100586,0.00010264784941682592,13,3.22946652173996
progressive_uniform,2,12.638152122497559,0.0001570699823787436,16,4.79565601348877
progressive_uniform,3,12.810615539550781,0.00028682261472567916,16,6.322195055708289
progressive_uniform,4,12.021581649780273,0.00040483492193743587,16,7.783374786376953
non_progressive_uniform,0,12.80649185180664,0.00025073846336454153,16,7.834456443786621
non_progressive_uniform,1,13.03712272644043,0.00018675604951567948,16,7.680160045623779
non_progressive_uniform,2,12.637332916259766,0.0003253455797675997,16,7.9052958488464355
non_progressive_uniform,3,12.810098648071289,0.00033800260280258954,16,7.899561405181885
non_progressive_uniform,4,12.021384239196777,0.0002971371286548674,16,7.783374786376953
collinear_selection,0,12.806451797485352,0.00021022312284912914,16,7.834456443786621
collinear_selection,1,13.037262916564941,0.000326210109051317,16,7.680160045623779
collinear_selection,2,12.63795280456543,0.0005104612209834158,16,7.905296802520752
collinear_selection,3,12.810344696044922,0.00019596755737438798,16,7.899561882019043
collinear_selection,4,12.021042823791504,0.00029111054027453065,16,7.783374786376953
